tconst,primaryTitle,Rated,Released,Production,genre,runtimeMinutes,BoxOffice,imdbRating,imdbVotes,RottenTomatoes,Metacritic
tt0035423,Kate & Leopold,PG-13,2001-12-25,Miramax Films,Comedy,118,47095453,6.4,75070,50,44
tt0043686,Forbidden Games,Not Rated,2052-12-08,Times Film Corporation,Drama,86,4308,8,10036,100,
tt0044876,The Man in the White Suit,Approved,2052-04-01,Universal Pictures,Comedy,85,3874,7.3,8073,100,
tt0046478,Ugetsu,Not Rated,1954-09-07,Edward Harrison,Drama,96,6154,8.3,18376,100,
tt0047034,Godzilla,Not Rated,2004-05-07,Toho,Drama,96,2340,7.6,26120,93,78
tt0047892,Bob le Flambeur,PG,,Lionsgate,Crime,98,4623,7.7,9555,97,80
tt0048021,Rififi,Not Rated,1956-06-05,Rialto Pictures,Crime,118,57226,8.2,23554,94,97
tt0049877,Four Bags Full,,1956-10-26,Rialto Pictures,Comedy,80,17824,7.4,3078,,
tt0051378,Elevator to the Gallows,Not Rated,1958-01-29,Rialto Pictures,Crime,91,109257,8,18866,93,94
tt0053472,Breathless,Not Rated,1961-02-07,Rialto Pictures,Crime,90,363030,7.9,66017,97,
tt0054098,Mughal-E-Azam,Not Rated,1960-08-05,UTV Communications,Drama,197,110815,8.3,6448,91,
tt0054130,La Notte,Not Rated,1962-02-19,Nepi Film,Drama,122,39236,8.1,15807,83,
tt0054177,Le Petit Soldat,Not Rated,1963-01-25,Rialto Pictures,Drama,88,24296,7.3,5389,80,97
tt0054407,Le Trou,Not Rated,1997-02-14,Filmsonor Productions,Crime,131,30973,8.5,12895,94,
tt0057345,Contempt,Not Rated,1964-12-18,Rialto Pictures,Drama,103,39199,7.6,25455,94,
tt0057490,The Servant,Unrated,1964-03-16,Rialto Pictures,Drama,116,36668,7.9,8175,86,93
tt0057869,Band of Outsiders,Not Rated,1964-08-05,Royal Films International,Comedy,95,37651,7.8,20389,94,88
tt0058946,The Battle of Algiers,Not Rated,1967-09-20,Rialto Pictures,Drama,121,55908,8.1,47910,99,95
tt0060315,Django,Not Rated,1966-12-01,Rialto Pictures,Action,91,25097,7.3,22653,92,75
tt0061328,Accident,Not Rated,1967-06-07,Rialto Pictures,Drama,105,17161,6.9,2973,82,
tt0062622,2001: A Space Odyssey,G,1968-05-12,Warner Bros. Pictures,Adventure,149,135620,8.3,559687,93,82
tt0063227,The Lion in Winter,PG,1968-10-30,Nelson Entertainment,Biography,134,18177,7.9,27328,92,
tt0066963,"Dad's Army",G,1971-09-01,Universal Pictures International,Comedy,95,4683159,6.9,2636,32,
tt0067541,Wake in Fright,R,1971-10-09,Drafthouse Films,Drama,109,27624,7.7,8926,100,88
tt0067900,Un Flic,PG,1972-10-25,Rialto Pictures,Crime,98,48040,7.1,6812,78,72
tt0067992,Willy Wonka & the Chocolate Factory,G,1971-06-30,Paramount Pictures,Family,100,4000000,7.8,165191,91,67
tt0068230,Asylum,PG,1972-11-17,Paramount Classics,Horror,88,295287,6.5,5265,36,
tt0073076,Grey Gardens,PG,1975-09-27,Janus Films,Comedy,95,30966,7.6,11040,94,
tt0073580,The Passenger,PG-13,1975-04-09,Sony Pictures Classics,Drama,126,495232,7.6,19058,90,90
tt0074152,Small Change,PG,1976-03-17,,Comedy,104,32660,7.7,4746,88,
tt0074252,"Ugly, Dirty and Bad",,1976-09-23,Compagnia Cinematografica Champion,Comedy,115,6590,7.8,6999,,
tt0075040,Seven Beauties,R,1976-01-21,Koch Lorber Films,Comedy,116,11962,7.8,4487,80,
tt0079576,More American Graffiti,PG,1979-08-03,MCA Universal Home Video,Comedy,110,8100000,5.3,3767,20,
tt0079854,Every Man for Himself,Not Rated,1980-10-15,New Yorker Films,Drama,87,45154,7,2712,,
tt0079944,Stalker,Not Rated,1980-04-17,Zweites Deutsches Fernsehen,Drama,162,268101,8.2,102089,100,
tt0080117,The Wanderers,R,1979-07-04,Warner Home Video,Drama,112,14492,7.4,9296,89,64
tt0080539,City of Women,R,1981-04-08,Gaumont,Comedy,139,6244,7,5586,71,
tt0080684,Star Wars: Episode V - The Empire Strikes Back,PG,1980-06-20,Twentieth Century Fox,Action,124,4548170,8.7,1075947,95,82
tt0083001,Roar,PG,1981-11-12,Drafthouse Films,Adventure,102,106353,6.2,2554,74,65
tt0083015,S.O.B.,R,1981-07-01,Twentieth Century Fox Home Entertainment,Comedy,122,14867086,6.4,5101,82,62
tt0085601,Go for It,,,Lionsgate Films,Action,107,100000,7.2,8111,,
